ImageNumber	ObjectNumber	Children_Cells_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number
1	1	1	342.82105263157894	13.982456140350877	0	1
1	2	1	61.68693693693694	17.117117117117118	0	2
1	3	1	179.12820512820514	23.471153846153847	0	3
1	4	1	219.20081967213116	30.581967213114755	0	4
1	5	1	393.803738317757	37.570093457943926	0	5
1	6	1	235.85140562248995	39.899598393574294	0	6
1	7	1	150.8996282527881	40.45353159851301	0	7
1	8	1	203.48262548262548	48.99034749034749	0	8
1	9	1	248.3560371517028	55.424148606811144	0	9
1	10	1	180.57664233576642	75.11678832116789	0	10
1	11	1	129.46564885496184	78.40203562340967	0	11
1	12	1	157.47081712062257	81.81322957198444	0	12
1	13	1	409.725	86.09	0	13
1	14	1	145.40173410404626	93.39017341040463	0	14
1	15	1	474.0525328330206	99.89118198874296	0	15
1	16	1	413.390977443609	105.42105263157895	0	16
1	17	1	204.38333333333333	107.93333333333334	0	17
1	18	1	273.0164533820841	118.691042047532	0	18
1	19	1	446.544	123.584	0	19
1	20	1	180.3079847908745	125.4296577946768	0	20
1	21	1	420.8617886178862	144.9959349593496	0	21
1	22	1	204.57142857142858	145.007722007722	0	22
1	23	1	385.6106346483705	152.7255574614065	0	23
1	24	1	254.49096880131364	153.9408866995074	0	24
1	25	1	227.0	165.13777777777779	0	25
1	26	1	158.72222222222223	178.95299145299145	0	26
1	27	1	495.07865168539325	195.15955056179774	0	27
1	28	1	295.03286384976525	216.67136150234742	0	28
1	29	1	406.5146443514644	225.2510460251046	0	29
1	30	1	391.67826086956524	258.1695652173913	0	30
1	31	1	421.86725663716817	275.24778761061947	0	31
1	32	1	129.38659793814432	276.8144329896907	0	32
1	33	1	334.9364406779661	281.1186440677966	0	33
1	34	1	442.1848184818482	282.66336633663366	0	34
1	35	1	426.86851211072667	322.52595155709344	0	35
1	36	1	489.42672413793105	348.20258620689657	0	36
1	37	1	472.05902777777777	368.90277777777777	0	37
1	38	1	491.05395683453236	387.7014388489209	0	38
1	39	1	473.08015267175574	414.1526717557252	0	39
1	40	1	507.54237288135596	411.3446327683616	0	40
1	41	1	433.5245901639344	416.51803278688527	0	41
1	42	1	475.96992481203006	437.82706766917295	0	42
1	43	1	451.5621118012422	450.0900621118012	0	43
1	44	1	483.7723076923077	460.51384615384615	0	44
1	45	1	504.2163120567376	471.3510638297872	0	45
