ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Cells
1	169	383.5	34.5	0	169	5
1	170	59.0	35.0	0	170	2
1	171	78.5	36.5	0	171	2
1	172	143.5	36.5	0	172	7
1	173	201.0	36.0	0	173	8
1	174	152.0	37.0	0	174	7
1	175	154.0	37.0	0	175	7
1	176	157.5	37.5	0	176	7
1	177	215.0	37.0	0	177	4
1	178	383.0	37.0	0	178	5
1	179	146.0	38.0	0	179	7
1	180	150.0	37.666666666666664	0	180	7
1	181	188.0	38.0	0	181	3
1	182	390.0	38.0	0	182	5
1	183	403.5	38.0	0	183	5
1	184	406.0	38.0	0	184	5
1	185	143.33333333333334	39.333333333333336	0	185	7
1	186	152.0	39.0	0	186	7
1	187	240.0	39.333333333333336	0	187	6
1	188	392.0	39.0	0	188	5
1	189	395.0	39.5	0	189	5
1	190	232.5	40.0	0	190	6
1	191	382.5	40.0	0	191	5
1	192	402.5	40.0	0	192	5
1	193	143.5	41.0	0	193	7
1	194	191.0	41.0	0	194	8
1	195	197.0	41.0	0	195	8
1	196	208.0	41.0	0	196	8
1	197	217.0	41.0	0	197	4
1	198	389.25	41.25	0	198	5
1	199	394.5	41.0	0	199	5
1	200	147.33333333333334	42.333333333333336	0	200	7
1	201	163.5	42.0	0	201	7
1	202	185.0	41.5	0	202	3
1	203	193.0	42.5	0	203	8
1	204	200.0	41.5	0	204	8
1	205	243.0	42.0	0	205	6
1	206	397.0	42.0	0	206	5
1	207	136.5	43.0	0	207	7
1	208	142.66666666666666	43.333333333333336	0	208	7
1	209	144.5	43.0	0	209	7
1	210	160.5	43.5	0	210	7
1	211	175.0	43.0	0	211	3
1	212	219.0	43.5	0	212	4
1	213	237.5	43.0	0	213	6
1	214	331.6666666666667	44.0	0	214	0
1	215	389.0	43.0	0	215	5
1	216	401.0	43.0	0	216	5
1	217	202.0	43.5	0	217	8
1	218	208.66666666666666	43.666666666666664	0	218	8
1	219	149.5	45.0	0	219	7
1	220	210.5	45.0	0	220	8
1	221	243.0	45.5	0	221	9
1	222	397.5	45.0	0	222	5
1	223	402.0	45.0	0	223	5
1	224	179.0	46.0	0	224	3
1	225	201.5	46.0	0	225	8
1	226	206.0	45.5	0	226	8
1	227	214.0	46.0	0	227	8
1	228	247.0	45.5	0	228	9
1	229	145.5	47.5	0	229	7
1	230	152.0	47.0	0	230	7
1	231	227.0	47.0	0	231	6
1	232	239.0	47.0	0	232	6
1	233	208.0	47.5	0	233	8
1	234	210.0	48.0	0	234	8
1	235	236.0	48.0	0	235	6
1	236	198.5	49.5	0	236	8
1	237	203.5	49.5	0	237	8
1	238	252.5	49.0	0	238	9
1	239	195.0	50.0	0	239	8
1	240	206.0	50.0	0	240	8
1	241	217.0	50.0	0	241	8
1	242	147.0	51.0	0	242	7
1	243	152.0	51.0	0	243	7
1	244	201.0	51.0	0	244	8
1	245	420.0	51.0	0	245	0
1	246	145.0	52.0	0	246	7
1	247	231.5	52.0	0	247	6
1	248	245.0	52.0	0	248	9
1	249	281.5	51.5	0	249	0
1	250	214.5	53.0	0	250	8
1	251	255.5	53.0	0	251	9
1	252	133.5	54.0	0	252	11
1	253	199.5	54.5	0	253	8
1	254	204.5	53.5	0	254	8
1	255	245.5	54.5	0	255	9
1	256	6.4	56.0	0	256	0
1	257	175.0	56.0	0	257	10
1	258	227.0	56.0	0	258	6
1	259	76.0	58.0	0	259	0
1	260	203.0	58.0	0	260	8
1	261	243.5	58.5	0	261	9
1	262	199.0	59.0	0	262	8
1	263	249.0	58.5	0	263	9
1	264	1.0	60.0	0	264	0
1	265	137.0	60.0	0	265	11
1	266	206.66666666666666	60.333333333333336	0	266	8
1	267	211.0	60.0	0	267	8
1	268	218.0	60.0	0	268	8
1	269	133.5	61.5	0	269	11
1	270	212.8	61.0	0	270	8
1	271	248.0	61.0	0	271	9
1	272	174.0	62.0	0	272	10
1	273	210.5	62.5	0	273	8
1	274	254.0	62.0	0	274	9
1	275	257.0	62.0	0	275	9
1	276	159.5	63.0	0	276	12
1	277	185.0	63.0	0	277	10
1	278	207.66666666666666	62.666666666666664	0	278	8
1	279	18.0	64.0	0	279	0
1	280	82.0	64.0	0	280	0
1	281	137.5	64.0	0	281	11
1	282	140.0	64.0	0	282	11
1	283	180.5	64.0	0	283	10
1	284	193.5	64.0	0	284	8
1	285	251.0	64.0	0	285	9
1	286	256.0	64.33333333333333	0	286	9
1	287	122.0	65.0	0	287	11
1	288	134.66666666666666	65.33333333333333	0	288	11
1	289	143.0	65.0	0	289	11
1	290	156.0	65.0	0	290	12
1	291	198.0	64.5	0	291	8
1	292	259.0	65.5	0	292	9
1	293	206.4	65.2	0	293	8
