ImageNumber	ObjectNumber	Children_Cells_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number
1	1	1	234.89837398373984	3.451219512195122	0	1
1	2	1	108.63786008230453	13.197530864197532	0	2
1	3	1	150.77326968973748	12.933174224343675	0	3
1	4	1	495.70710571923746	14.998266897746968	0	4
1	5	1	425.9265306122449	18.224489795918366	0	5
1	6	1	53.650621118012424	20.69254658385093	0	6
1	7	1	375.4859335038363	21.578005115089514	0	7
1	8	1	173.7074340527578	20.642685851318944	0	8
1	9	1	211.60194174757282	27.368932038834952	0	9
1	10	1	252.07309941520467	34.25730994152047	0	10
1	11	1	340.0399061032864	37.98826291079812	0	11
1	12	1	293.6813953488372	41.044186046511626	0	12
1	13	1	183.8202479338843	57.76652892561984	0	13
1	14	1	84.17676767676768	61.57828282828283	0	14
1	15	1	470.43575418994413	57.08659217877095	0	15
1	16	1	27.435294117647057	67.30882352941177	0	16
1	17	1	149.7622504537205	68.50453720508168	0	17
1	18	1	379.5725971370143	68.97955010224949	0	18
1	19	1	320.27777777777777	69.10846560846561	0	19
1	20	1	491.70915619389586	75.02513464991023	0	20
1	21	1	305.9893992932862	81.06360424028269	0	21
1	22	1	427.5	91.21487603305785	0	22
1	23	1	461.9904420549582	88.86379928315412	0	23
1	24	1	117.4	93.89855072463769	0	24
1	25	1	53.453968253968256	98.14920634920635	0	25
1	26	1	82.27666666666667	97.18	0	26
1	27	1	23.515222482435597	103.52693208430914	0	27
1	28	1	172.72727272727272	105.12252964426878	0	28
1	29	1	380.20864661654133	109.72368421052632	0	29
1	30	1	269.0875386199794	109.28630278063852	0	30
1	31	1	237.9318854886476	115.35044422507404	0	31
1	32	1	67.93265993265993	118.72053872053873	0	32
1	33	1	45.114754098360656	120.96311475409836	0	33
1	34	1	104.19536423841059	125.56291390728477	0	34
1	35	1	14.083720930232559	127.61860465116278	0	35
1	36	1	433.48071979434445	128.84061696658097	0	36
1	37	1	131.80068728522338	136.79381443298968	0	37
1	38	1	365.3155737704918	138.50819672131146	0	38
1	39	1	215.93832599118943	140.22466960352423	0	39
1	40	1	48.40070921985816	141.68085106382978	0	40
1	41	1	172.0063424947146	150.1860465116279	0	41
1	42	1	56.07243816254417	157.9876325088339	0	42
1	43	1	391.77279305354557	159.70477568740955	0	43
1	44	1	298.664	158.88685714285714	0	44
1	45	1	477.4397905759162	174.86910994764398	0	45
1	46	1	502.1970705725699	180.9866844207723	0	46
1	47	1	440.9763779527559	181.34251968503938	0	47
1	48	1	105.65054945054945	186.07472527472527	0	48
1	49	1	188.38501026694044	185.24332648870637	0	49
1	50	1	419.3430962343096	190.51046025104603	0	50
1	51	1	123.25115207373273	199.85023041474653	0	51
1	52	1	48.43963553530752	213.53986332574033	0	52
1	53	1	338.0957746478873	211.32112676056337	0	53
1	54	1	249.55990783410138	216.1152073732719	0	54
1	55	1	416.31972789115645	216.97619047619048	0	55
1	56	1	108.4296435272045	219.15196998123827	0	56
1	57	1	294.3922305764411	230.37593984962405	0	57
1	58	1	450.13	240.6425	0	58
1	59	1	248.46019417475728	249.7378640776699	0	59
1	60	1	387.2849872773537	252.0916030534351	0	60
1	61	1	170.70964660936008	253.22922636103152	0	61
1	62	1	224.878125	254.134375	0	62
1	63	1	486.8874296435272	264.3076923076923	0	63
1	64	1	261.04741379310343	264.4008620689655	0	64
1	65	1	27.405566600397613	269.5427435387674	0	65
1	66	1	73.5561224489796	277.11224489795916	0	66
1	67	1	10.02662721893491	285.2721893491124	0	67
1	68	1	284.4347368421053	287.41473684210524	0	68
1	69	1	229.43872549019608	286.65686274509807	0	69
1	70	1	355.81180811808116	292.3247232472325	0	70
1	71	1	125.18881118881119	294.2960372960373	0	71
1	72	1	504.70666666666665	296.26666666666665	0	72
1	73	1	444.38579654510556	301.0710172744722	0	73
1	74	1	236.72068230277185	305.7164179104478	0	74
1	75	1	328.76553672316385	306.7994350282486	0	75
1	76	1	372.8416075650118	314.6548463356974	0	76
1	77	1	197.3615160349854	314.07580174927114	0	77
1	78	1	11.715189873417721	319.56962025316454	0	78
1	79	1	338.81849315068496	319.66438356164383	0	79
1	80	1	397.0826873385013	320.7519379844961	0	80
1	81	1	141.51696606786427	326.02794411177643	0	81
1	82	1	49.00958904109589	325.7013698630137	0	82
1	83	1	413.2566225165563	342.71854304635764	0	83
1	84	1	359.1069182389937	341.80817610062894	0	84
1	85	1	158.786355475763	346.0215439856373	0	85
1	86	1	493.61138613861385	345.769801980198	0	86
1	87	1	375.51027397260276	345.71061643835617	0	87
1	88	1	60.32335329341317	346.9760479041916	0	88
1	89	1	28.4635761589404	354.5408388520971	0	89
1	90	1	219.87836257309942	358.5777777777778	0	90
1	91	1	186.7611464968153	362.7356687898089	0	91
1	92	1	137.19430051813472	369.3730569948186	0	92
1	93	1	458.74603174603175	365.47777777777776	0	93
1	94	1	266.4675	372.1	0	94
1	95	1	3.5898876404494384	375.7865168539326	0	95
1	96	1	293.67865707434055	375.9832134292566	0	96
1	97	1	90.89213893967093	377.15539305301644	0	97
1	98	1	123.62654320987654	386.4753086419753	0	98
1	99	1	433.8975903614458	403.2530120481928	0	99
1	100	1	393.26769911504425	404.12610619469024	0	100
1	101	1	331.04336043360433	408.06233062330625	0	101
1	102	1	28.53512705530643	416.2869955156951	0	102
1	103	1	89.69791666666667	413.5286458333333	0	103
1	104	1	113.37268518518519	417.34027777777777	0	104
1	105	1	257.2445255474453	417.4288321167883	0	105
1	106	1	309.96143250688704	420.41322314049586	0	106
