ImageNumber	Mean_Cells_Children_PLA_Count	Mean_Cells_Location_Center_X	Mean_Cells_Location_Center_Y	Mean_Cells_Location_Center_Z	Mean_Cells_Parent_Nuclei	Mean_Nuclei_Children_Cells_Count	Mean_Nuclei_Location_Center_X	Mean_Nuclei_Location_Center_Y	Mean_Nuclei_Location_Center_Z	Mean_PLA_Location_Center_X	Mean_PLA_Location_Center_Y	Mean_PLA_Location_Center_Z	Mean_PLA_Parent_Cells	Median_Cells_Children_PLA_Count	Median_Cells_Location_Center_X	Median_Cells_Location_Center_Y	Median_Cells_Location_Center_Z	Median_Cells_Parent_Nuclei	Median_Nuclei_Children_Cells_Count	Median_Nuclei_Location_Center_X	Median_Nuclei_Location_Center_Y	Median_Nuclei_Location_Center_Z	Median_PLA_Location_Center_X	Median_PLA_Location_Center_Y	Median_PLA_Location_Center_Z	Median_PLA_Parent_Cells
1	3.6987951807228914	235.32824069697452	255.44630924492157	0.0	83.5	1.0	235.26849178329917	255.2388780720446	0.0	275.4330397894338	261.63372536760056	0.0	75.04249291784703	2.0	218.80575441354418	255.46667715054434	0.0	83.5	1.0	216.7410314465409	258.1408459625952	0.0	295.0	306.0	0.0	95.0
2	7.302631578947368	253.98101274461797	286.78528920800926	0.0	38.5	1.0	253.77271075966345	286.6800921688493	0.0	140.64371835222448	317.0286687299606	0.0	36.7675585284281	1.0	235.78383388031054	323.86711628114716	0.0	38.5	1.0	236.07412243813909	324.0085369443627	0.0	95.25	320.83333333333337	0.0	35.0
3	14.830188679245284	333.44879339713896	266.49871924149613	0.0	27.0	1.0	333.78069704967913	265.8551462414879	0.0	284.0974246785355	265.60067959262034	0.0	21.054166666666667	7.0	347.6685082872928	265.11846522781775	0.0	27.0	1.0	349.3019744483159	263.29368029739777	0.0	253.0909090909091	249.25	0.0	19.0
4	6.861538461538461	294.97180343892364	264.50660761214664	0.0	65.5	1.0	295.25774774123084	264.62321902807605	0.0	270.98856434867577	297.6720902679249	0.0	68.87606837606837	4.0	306.5473927579977	264.2268032105325	0.0	65.5	1.0	303.73666073350444	266.842924401399	0.0	287.41666666666663	297.0	0.0	73.0
5	8.536585365853659	220.4882712861702	250.02520052123828	0.0	41.5	1.0	220.38162655559805	249.84993919033633	0.0	214.6407368016819	246.77781447071675	0.0	35.47940074906367	2.0	190.67387618886005	261.7911878707374	0.0	41.5	1.0	189.46941388649986	262.66384180790965	0.0	235.0	263.51851851851853	0.0	42.0
6	11.373737373737374	268.8261626227733	277.4842967689438	0.0	50.0	1.0	268.84291216232646	277.7916685527513	0.0	244.47556270973854	282.3818858026939	0.0	45.091787439613526	7.0	261.5514864282637	284.17232808616404	0.0	50.0	1.0	258.5720250521921	284.7330316742081	0.0	207.25	285.75	0.0	37.0
7	13.647727272727273	249.0296214900929	266.30872434655765	0.0	44.5	1.0	248.86935986567107	266.2330664576761	0.0	253.59772270552227	289.6652262646168	0.0	45.52655889145497	7.5	242.78822024771137	277.2867781294974	0.0	44.5	1.0	241.85327244893128	279.3040726165726	0.0	255.0	308.0	0.0	45.0
8	14.26923076923077	244.01468917963228	210.20393901916609	0.0	26.5	1.0	243.69382210256208	209.97310084621736	0.0	254.062900884156	223.8762645811643	0.0	22.20250284414107	12.5	243.15980357588847	199.72397486772485	0.0	26.5	1.0	243.96717037037035	204.8211800597962	0.0	264.5	213.0	0.0	24.0
