ImageNumber	ObjectNumber	Children_Cells_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number
1	1	1	137.17808219178082	4.17351598173516	0	1
1	2	1	301.8831168831169	4.965367965367966	0	2
1	3	1	451.31779661016947	5.995762711864407	0	3
1	4	1	112.02057613168725	6.8353909465020575	0	4
1	5	1	25.094827586206897	6.629310344827586	0	5
1	6	1	413.7522658610272	11.625377643504532	0	6
1	7	1	279.70540540540543	11.275675675675675	0	7
1	8	1	5.915254237288136	19.03728813559322	0	8
1	9	1	338.01785714285717	20.014880952380953	0	9
1	10	1	476.5604719764012	22.551622418879056	0	10
1	11	1	73.16455696202532	28.936708860759495	0	11
1	12	1	502.17066666666665	32.37866666666667	0	12
1	13	1	237.0054054054054	33.67567567567568	0	13
1	14	1	186.12827988338194	46.13411078717201	0	14
1	15	1	214.12745098039215	44.07516339869281	0	15
1	16	1	25.87248322147651	54.241610738255034	0	16
1	17	1	149.2295081967213	54.170491803278686	0	17
1	18	1	97.02978723404256	54.0468085106383	0	18
1	19	1	42.5366568914956	59.287390029325515	0	19
1	20	1	76.13513513513513	59.46718146718147	0	20
1	21	1	286.246719160105	62.35958005249344	0	21
1	22	1	105.21574344023324	70.0932944606414	0	22
1	23	1	11.382513661202186	71.09289617486338	0	23
1	24	1	351.2857142857143	70.61904761904762	0	24
1	25	1	138.30693069306932	70.97359735973598	0	25
1	26	1	164.0936329588015	74.32209737827715	0	26
1	27	1	401.59294871794873	72.30448717948718	0	27
1	28	1	281.25555555555553	81.63333333333334	0	28
1	29	1	249.1078066914498	80.92193308550186	0	29
1	30	1	387.52244897959184	82.51428571428572	0	30
1	31	1	482.0278637770898	84.47678018575851	0	31
1	32	1	66.01914414414415	84.09234234234235	0	32
1	33	1	328.63436123348015	86.53744493392071	0	33
1	34	1	186.46357615894038	97.20529801324503	0	34
1	35	1	213.8467336683417	104.55527638190955	0	35
1	36	1	152.5609756097561	104.42857142857143	0	36
1	37	1	131.93083573487033	114.38616714697406	0	37
1	38	1	437.3543859649123	108.8280701754386	0	38
1	39	1	109.07038123167156	113.35483870967742	0	39
1	40	1	344.009009009009	114.25525525525525	0	40
1	41	1	371.5296052631579	112.81907894736842	0	41
1	42	1	274.431906614786	117.93774319066148	0	42
1	43	1	310.75714285714287	121.94285714285714	0	43
1	44	1	395.5407407407407	122.05185185185185	0	44
1	45	1	6.546391752577319	128.8487972508591	0	45
1	46	1	169.56420233463035	129.59143968871595	0	46
1	47	1	210.572	135.088	0	47
1	48	1	145.87372013651878	145.83617747440272	0	48
1	49	1	496.494623655914	141.6236559139785	0	49
1	50	1	84.41379310344827	149.22758620689655	0	50
1	51	1	49.7479674796748	151.9268292682927	0	51
1	52	1	224.70491803278688	154.35081967213114	0	52
1	53	1	405.2746913580247	155.2006172839506	0	53
1	54	1	380.9961832061069	155.05725190839695	0	54
1	55	1	444.04794520547944	164.87328767123287	0	55
1	56	1	313.4967320261438	171.4281045751634	0	56
1	57	1	353.5882352941176	168.41176470588235	0	57
1	58	1	12.722826086956522	171.23097826086956	0	58
1	59	1	57.56870229007634	171.54961832061068	0	59
1	60	1	84.11129568106313	175.72093023255815	0	60
1	61	1	464.2779661016949	180.92203389830507	0	61
1	62	1	136.86547085201795	179.15844544095665	0	62
1	63	1	372.6782945736434	182.5503875968992	0	63
1	64	1	193.58024691358025	192.39506172839506	0	64
1	65	1	168.88737201365188	190.1023890784983	0	65
1	66	1	248.4894894894895	194.52252252252254	0	66
1	67	1	285.83102143757884	186.29003783102144	0	67
1	68	1	489.91726618705036	198.4388489208633	0	68
1	69	1	212.85477178423236	202.6265560165975	0	69
1	70	1	329.22522522522524	205.57357357357358	0	70
1	71	1	408.7416666666667	213.0625	0	71
1	72	1	150.0814332247557	222.78501628664495	0	72
1	73	1	77.85765124555161	224.53024911032028	0	73
1	74	1	178.8074074074074	221.72962962962964	0	74
1	75	1	332.8217270194986	230.81615598885793	0	75
1	76	1	398.3953488372093	230.77906976744185	0	76
1	77	1	54.76946107784431	230.18562874251498	0	77
1	78	1	99.24199288256227	231.91814946619218	0	78
1	79	1	463.23297491039426	237.91039426523298	0	79
1	80	1	40.62459546925567	238.042071197411	0	80
1	81	1	253.09722222222223	243.85069444444446	0	81
1	82	1	410.11764705882354	248.98930481283423	0	82
1	83	1	498.75916230366494	252.20942408376965	0	83
1	84	1	363.45723684210526	257.61842105263156	0	84
1	85	1	33.8469387755102	258.5357142857143	0	85
1	86	1	61.19753086419753	256.82716049382714	0	86
1	87	1	227.369918699187	258.8008130081301	0	87
1	88	1	307.5230125523013	259.0836820083682	0	88
1	89	1	136.98275862068965	261.2487684729064	0	89
1	90	1	428.6455223880597	260.88432835820896	0	90
1	91	1	391.83798882681566	264.2513966480447	0	91
1	92	1	275.8255033557047	270.0134228187919	0	92
1	93	1	468.57458563535914	272.0662983425414	0	93
1	94	1	289.64132553606237	279.12475633528265	0	94
1	95	1	135.1038062283737	283.05190311418687	0	95
1	96	1	160.84341637010675	281.1067615658363	0	96
1	97	1	336.8544776119403	283.63432835820896	0	97
1	98	1	48.32561728395062	281.30864197530866	0	98
1	99	1	412.31380753138075	289.60669456066944	0	99
1	100	1	370.09019607843135	289.42745098039217	0	100
1	101	1	84.12058823529412	293.26176470588234	0	101
