ImageNumber	ObjectNumber	Children_Cells_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number
1	1	1	394.57142857142856	5.857142857142857	0	1
1	2	1	345.08196721311475	5.19672131147541	0	2
1	3	1	453.68617021276594	6.808510638297872	0	3
1	4	1	293.7249283667622	8.810888252148997	0	4
1	5	1	424.04453441295544	14.429149797570851	0	5
1	6	1	316.969298245614	19.44736842105263	0	6
1	7	1	377.8248407643312	19.923566878980893	0	7
1	8	1	351.6554307116105	21.906367041198504	0	8
1	9	1	294.0034364261168	28.50171821305842	0	9
1	10	1	459.41295546558706	33.08097165991903	0	10
1	11	1	281.85425101214577	37.96761133603239	0	11
1	12	1	397.2610169491525	46.6135593220339	0	12
1	13	1	344.1806722689076	54.424369747899156	0	13
1	14	1	217.55502392344496	56.889952153110045	0	14
1	15	1	427.8081632653061	63.434013605442175	0	15
1	16	1	450.18599033816423	69.04106280193237	0	16
1	17	1	170.9221183800623	71.75077881619937	0	17
1	18	1	251.87962962962962	72.2175925925926	0	18
1	19	1	374.06227106227107	71.47985347985347	0	19
1	20	1	219.56052141527002	78.0316573556797	0	20
1	21	1	330.7418032786885	75.77868852459017	0	21
1	22	1	405.6188524590164	81.01639344262296	0	22
1	23	1	319.0349344978166	82.92139737991266	0	23
1	24	1	396.5	90.86551724137931	0	24
1	25	1	356.11467889908255	92.18807339449542	0	25
1	26	1	268.7299703264095	99.05044510385757	0	26
1	27	1	242.94022988505748	101.08275862068966	0	27
1	28	1	390.4518272425249	110.55481727574751	0	28
1	29	1	418.1934156378601	110.63786008230453	0	29
1	30	1	313.4134897360704	115.78592375366568	0	30
1	31	1	441.3935860058309	112.29154518950438	0	31
1	32	1	270.23595505617976	123.09550561797752	0	32
1	33	1	385.3766233766234	126.06818181818181	0	33
1	34	1	364.4472727272727	124.67272727272727	0	34
1	35	1	424.05348460291737	132.484602917342	0	35
1	36	1	288.6923076923077	132.85972850678732	0	36
1	37	1	244.74564459930315	144.7560975609756	0	37
1	38	1	389.07365439093485	149.54107648725213	0	38
1	39	1	283.25096525096524	157.66023166023166	0	39
1	40	1	230.04048582995952	158.34817813765181	0	40
1	41	1	339.8576158940397	159.51655629139074	0	41
1	42	1	402.0085106382979	167.65531914893617	0	42
1	43	1	300.80514705882354	169.95955882352942	0	43
1	44	1	372.5198675496689	173.98675496688742	0	44
1	45	1	433.76326530612243	176.50204081632654	0	45
1	46	1	216.41592201462225	180.21283509341998	0	46
1	47	1	298.10849056603774	188.29716981132074	0	47
1	48	1	255.35154394299286	196.60570071258908	0	48
1	49	1	415.5	194.9417808219178	0	49
1	50	1	329.01633986928107	198.7941176470588	0	50
1	51	1	360.75748502994014	198.89520958083833	0	51
1	52	1	302.92090395480227	205.27683615819208	0	52
1	53	1	403.88170347003154	218.9479495268139	0	53
1	54	1	250.2	223.4864406779661	0	54
1	55	1	283.97729422894986	225.06717123935667	0	55
1	56	1	25.298076923076923	227.25	0	56
1	57	1	155.21818181818182	230.0909090909091	0	57
1	58	1	182.5851851851852	234.17407407407407	0	58
1	59	1	237.09055118110237	237.2244094488189	0	59
1	60	1	332.0897009966777	234.80066445182723	0	60
1	61	1	369.95081967213116	236.3311475409836	0	61
1	62	1	307.52054794520546	239.8173515981735	0	62
1	63	1	391.4074074074074	242.67592592592592	0	63
1	64	1	196.0578231292517	254.73809523809524	0	64
1	65	1	382.76438356164385	256.14794520547946	0	65
1	66	1	171.6231884057971	255.07729468599032	0	66
1	67	1	256.4166666666667	258.7719298245614	0	67
1	68	1	182.19325842696628	272.8247191011236	0	68
1	69	1	314.88235294117646	274.8142414860681	0	69
1	70	1	350.2	276.0275	0	70
1	71	1	268.32217573221754	282.4602510460251	0	71
1	72	1	371.2742474916388	281.83277591973246	0	72
1	73	1	220.7279843444227	294.48727984344424	0	73
1	74	1	328.9718309859155	294.3169014084507	0	74
1	75	1	257.2369668246445	297.5971563981043	0	75
1	76	1	358.1003236245955	302.2071197411003	0	76
1	77	1	300.64878048780486	309.85853658536587	0	77
1	78	1	271.6666666666667	311.6936936936937	0	78
1	79	1	319.06382978723406	312.67021276595744	0	79
1	80	1	228.6451612903226	312.5017921146953	0	80
1	81	1	250.8237885462555	321.9515418502203	0	81
1	82	1	161.25581395348837	322.4651162790698	0	82
1	83	1	360.26153846153846	325.8646153846154	0	83
1	84	1	271.28444444444443	337.5288888888889	0	84
1	85	1	344.9283819628647	333.8832891246684	0	85
1	86	1	160.5	343.319018404908	0	86
1	87	1	335.52486187845307	345.8729281767956	0	87
1	88	1	217.2128514056225	350.8112449799197	0	88
1	89	1	357.5367412140575	357.7523961661342	0	89
1	90	1	177.68106312292358	359.8870431893688	0	90
1	91	1	264.00471698113205	369.5990566037736	0	91
1	92	1	238.73615635179152	373.74918566775244	0	92
1	93	1	191.6448598130841	388.6261682242991	0	93
1	94	1	154.75226586102718	388.9969788519638	0	94
1	95	1	312.1343873517786	389.4703557312253	0	95
1	96	1	210.91712707182322	393.7513812154696	0	96
1	97	1	325.4245614035088	402.50877192982455	0	97
1	98	1	139.78636363636363	403.2	0	98
1	99	1	294.0635593220339	407.45338983050846	0	99
1	100	1	341.9017543859649	412.4982456140351	0	100
