ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Cells
1	1	314.0	132.0	0	1	15
1	2	312.0	134.0	0	2	15
1	3	314.6666666666667	133.66666666666666	0	3	15
1	4	312.0	136.0	0	4	15
1	5	324.0	140.0	0	5	15
1	6	326.0	141.33333333333334	0	6	15
1	7	323.0	142.0	0	7	15
1	8	324.3333333333333	142.66666666666666	0	8	15
1	9	314.0	144.0	0	9	15
1	10	324.0	145.5	0	10	15
1	11	321.3333333333333	150.33333333333334	0	11	15
1	12	316.0	155.0	0	12	15
1	13	311.0	157.0	0	13	15
1	14	316.0	157.5	0	14	15
1	15	311.3333333333333	159.33333333333334	0	15	15
1	16	311.0	161.5	0	16	15
1	17	241.0	188.0	0	17	0
1	18	431.0	232.0	0	18	31
1	19	415.0	242.0	0	19	31
1	20	427.8333333333333	483.3333333333333	0	20	84
1	21	432.5	483.0	0	21	84
1	22	441.85714285714283	483.57142857142856	0	22	86
1	23	445.4375	483.9375	0	23	86
1	24	440.42105263157896	486.36842105263156	0	24	86
1	25	427.4	487.6	0	25	84
1	26	479.57142857142856	487.42857142857144	0	26	87
1	27	485.57142857142856	487.42857142857144	0	27	87
1	28	459.5	488.5	0	28	88
1	29	473.82608695652175	488.0	0	29	87
1	30	439.77777777777777	489.5	0	30	86
1	31	446.3333333333333	488.56666666666666	0	31	86
1	32	466.5	488.5	0	32	88
1	33	431.8125	489.625	0	33	84
1	34	487.0	493.0	0	34	87
1	35	433.53846153846155	492.9230769230769	0	35	84
1	36	473.5	493.5	0	36	87
1	37	480.5	493.0	0	37	87
1	38	440.7083333333333	493.125	0	38	86
1	39	445.75	493.45	0	39	86
1	40	466.17391304347825	494.0	0	40	88
1	41	431.85714285714283	495.2857142857143	0	41	84
1	42	460.0232558139535	495.86046511627904	0	42	88
1	43	427.54545454545456	495.6363636363636	0	43	84
1	44	430.0	496.0	0	44	84
1	45	443.0	495.5	0	45	86
2	1	109.0	181.0	0	1	22
2	2	223.0	330.0	0	2	38
2	3	49.0	345.0	0	3	42
2	4	446.25	410.25	0	4	55
2	5	435.0	483.0	0	5	68
2	6	439.5	483.0	0	6	68
2	7	448.85714285714283	483.57142857142856	0	7	68
2	8	452.4375	483.9375	0	8	68
2	9	447.38461538461536	485.84615384615387	0	9	68
2	10	434.3333333333333	487.1666666666667	0	10	68
2	11	486.57142857142856	487.42857142857144	0	11	67
2	12	492.57142857142856	487.42857142857144	0	12	67
2	13	466.5	488.5	0	13	68
2	14	480.82608695652175	488.0	0	14	67
2	15	446.9583333333333	489.0	0	15	68
2	16	453.3333333333333	488.56666666666666	0	16	68
2	17	473.5	488.5	0	17	68
2	18	438.8125	489.625	0	18	68
2	19	494.0	493.0	0	19	67
2	20	440.53846153846155	492.9230769230769	0	20	68
2	21	480.5	493.5	0	21	67
2	22	487.5	493.0	0	22	67
2	23	447.69565217391306	493.0	0	23	68
2	24	452.7894736842105	493.3157894736842	0	24	68
2	25	473.17391304347825	494.0	0	25	68
2	26	438.85714285714283	495.2857142857143	0	26	68
2	27	467.0232558139535	495.86046511627904	0	27	68
2	28	434.54545454545456	495.6363636363636	0	28	68
2	29	437.0	496.0	0	29	68
2	30	450.0	495.6	0	30	68
3	1	184.0	159.0	0	1	29
3	2	277.0	347.0	0	2	77
3	3	434.4	483.4	0	3	95
3	4	437.5	483.0	0	4	95
3	5	440.0	483.0	0	5	95
3	6	448.57142857142856	483.14285714285717	0	6	95
3	7	452.25	484.2916666666667	0	7	95
3	8	447.3333333333333	485.3333333333333	0	8	95
3	9	434.4	487.6	0	9	95
3	10	486.72	487.84	0	10	96
3	11	492.1875	487.0	0	11	96
3	12	450.0	488.0	0	12	95
3	13	466.5	488.5	0	13	97
3	14	473.5	488.0	0	14	97
3	15	480.82608695652175	488.0	0	15	96
3	16	446.82608695652175	489.0	0	16	95
3	17	453.4	489.04	0	17	95
3	18	438.8125	489.625	0	18	95
3	19	493.90909090909093	489.72727272727275	0	19	96
3	20	440.35714285714283	492.92857142857144	0	20	95
3	21	450.0	493.0	0	21	95
3	22	480.5	493.5	0	22	96
3	23	487.5	493.5	0	23	96
3	24	494.0	494.0	0	24	96
3	25	447.59090909090907	493.0	0	25	95
3	26	452.7894736842105	493.3157894736842	0	26	95
3	27	473.22222222222223	493.55555555555554	0	27	97
3	28	439.2	495.2	0	28	95
3	29	467.0232558139535	495.86046511627904	0	29	97
3	30	434.0	495.5	0	30	95
3	31	436.875	495.875	0	31	95
3	32	450.0	495.6	0	32	95
4	1	434.4	483.4	0	1	115
4	2	439.0	483.0	0	2	118
4	3	452.12	484.2	0	3	118
4	4	447.6296296296296	485.2962962962963	0	4	118
4	5	434.4	487.6	0	5	118
4	6	486.2857142857143	487.2857142857143	0	6	119
4	7	492.57142857142856	487.42857142857144	0	7	119
4	8	466.5	488.5	0	8	119
4	9	473.5	488.5	0	9	119
4	10	480.89473684210526	487.57894736842104	0	10	119
4	11	446.77777777777777	489.5	0	11	118
4	12	453.13793103448273	489.0	0	12	118
4	13	438.6666666666667	489.53333333333336	0	13	118
4	14	450.0	491.5	0	14	118
4	15	480.4117647058824	491.6470588235294	0	15	119
4	16	487.6666666666667	491.5	0	16	119
4	17	493.90909090909093	492.95454545454544	0	17	119
4	18	440.4	492.8	0	18	118
4	19	447.3809523809524	493.42857142857144	0	19	118
4	20	452.75	493.45	0	20	118
4	21	473.17391304347825	494.0	0	21	119
4	22	480.6363636363636	495.09090909090907	0	22	119
4	23	487.3636363636364	495.09090909090907	0	23	119
4	24	438.85714285714283	495.2857142857143	0	24	118
4	25	467.25	494.39285714285717	0	25	119
4	26	434.54545454545456	495.6363636363636	0	26	118
4	27	437.0	496.0	0	27	118
4	28	450.0	495.5	0	28	118
4	29	466.6	498.6	0	29	119
5	1	295.0	121.0	0	1	26
5	2	327.0	161.0	0	2	39
5	3	343.0	163.0	0	3	42
5	4	159.0	203.0	0	4	48
5	5	448.0	229.0	0	5	55
5	6	312.0	246.0	0	6	59
5	7	324.0	247.0	0	7	59
5	8	311.0	253.0	0	8	59
5	9	96.33333333333333	272.3333333333333	0	9	65
5	10	315.0	273.0	0	10	59
5	11	188.0	378.0	0	11	104
5	12	140.0	447.0	0	12	123
5	13	435.0	483.0	0	13	130
5	14	439.5	483.0	0	14	130
5	15	448.85714285714283	483.57142857142856	0	15	130
5	16	452.57142857142856	484.4761904761905	0	16	130
5	17	447.42105263157896	486.36842105263156	0	17	130
5	18	434.3333333333333	487.1666666666667	0	18	130
5	19	486.72	487.84	0	19	128
5	20	492.57142857142856	487.42857142857144	0	20	128
5	21	466.5	488.5	0	21	130
