ImageNumber	ObjectNumber	Children_PLA_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Nuclei
1	1	0	347.8008241758242	18.414835164835164	0	1	1
1	2	0	78.6900826446281	17.33884297520661	0	2	2
1	3	0	13.464638783269962	56.92395437262358	0	3	3
1	4	0	81.25221068819685	64.66935793925413	0	4	4
1	5	0	26.35907678650688	96.22636484687084	0	5	5
1	6	0	191.3550021105952	93.63191219924019	0	6	6
1	7	0	307.54437283093705	97.4174516608825	0	7	7
1	8	0	354.01619256017506	98.67089715536105	0	8	8
1	9	0	211.88681757656457	130.16955170883267	0	9	9
1	10	0	369.09994288977725	135.2130211307824	0	10	10
1	11	0	255.65257595772786	131.94892118009687	0	11	11
1	12	0	412.0625782227785	132.70921985815602	0	12	12
1	13	0	12.520537124802528	142.41627172195894	0	13	13
1	14	0	294.7437722419929	138.11601423487545	0	14	14
1	15	16	325.87759484609876	143.66857551896922	0	15	15
1	16	0	479.6346215266688	149.60747365059086	0	16	16
1	17	0	109.72277227722772	165.22539312754805	0	17	17
1	18	0	165.09755030621173	169.9400699912511	0	18	18
1	19	0	284.51776649746193	177.1694162436548	0	19	19
1	20	0	125.2739571589628	185.10822998872604	0	20	20
1	21	0	31.605353075170843	182.57858769931664	0	21	21
1	22	0	384.78173784977906	189.9620029455081	0	22	22
1	23	0	321.2199074074074	192.57361111111112	0	23	23
1	24	0	7.795977011494253	193.28879310344828	0	24	24
1	25	0	143.57073170731707	202.4670731707317	0	25	25
1	26	0	132.50645161290322	219.08548387096775	0	26	26
1	27	0	112.69607843137256	226.95989304812835	0	27	27
1	28	0	163.97061909758656	226.21301154249738	0	28	28
1	29	0	16.31289040318001	237.96365701306075	0	29	29
1	30	0	191.71447112264764	227.59312134977287	0	30	30
1	31	2	423.455005843397	237.7923646279704	0	31	31
1	32	0	92.91709511568124	245.9331619537275	0	32	32
1	33	0	142.9827089337176	251.56772334293947	0	33	33
1	34	0	295.84329004329004	243.4112554112554	0	34	34
1	35	0	183.66480446927375	262.12849162011173	0	35	35
1	36	0	55.358260869565214	261.2968115942029	0	36	36
1	37	0	212.50212765957446	262.0631205673759	0	37	37
1	38	0	244.19482120838472	266.8218249075216	0	38	38
1	39	0	352.94361525704807	270.9875621890547	0	39	39
1	40	0	384.16	282.107	0	40	40
1	41	0	482.7015355086372	283.1967370441459	0	41	41
1	42	0	108.7596463022508	279.06752411575565	0	42	42
1	43	0	157.46691568836712	286.8025613660619	0	43	43
1	44	0	329.2963940193492	279.22339489885667	0	44	44
1	45	0	284.19354838709677	285.74121863799286	0	45	45
1	46	0	312.19179894179894	292.7354497354497	0	46	46
1	47	0	62.06672369546621	298.55346449957227	0	47	47
1	48	0	37.596259625962595	297.52255225522555	0	48	48
1	49	0	129.66782729805013	310.091922005571	0	49	49
1	50	0	15.807764558547277	301.5967438948027	0	50	50
1	51	0	90.25968728755949	308.2168592794018	0	51	51
1	52	0	258.35673076923075	302.825	0	52	52
1	53	0	200.56897477187331	307.6269457863661	0	53	53
1	54	0	230.2998712998713	308.2226512226512	0	54	54
1	55	0	351.3552758954501	312.0590513068732	0	55	55
1	56	0	495.72687545520756	320.4027676620539	0	56	56
1	57	0	315.6910569105691	324.397212543554	0	57	57
1	58	0	244.6127562642369	331.53302961275625	0	58	58
1	59	0	280.01191567369386	328.3088909257562	0	59	59
1	60	0	338.9476047904192	335.6751497005988	0	60	60
1	61	0	301.14814814814815	344.74652777777777	0	61	61
1	62	0	384.8463785046729	338.1892523364486	0	62	62
1	63	0	356.1812977099237	354.5562977099237	0	63	63
1	64	0	205.75567620927936	354.609081934847	0	64	64
1	65	0	254.03283815480845	362.4511336982017	0	65	65
1	66	0	63.04704016913319	365.3229386892178	0	66	66
1	67	0	282.59753593429156	371.2566735112936	0	67	67
1	68	0	331.8618638466623	374.9325842696629	0	68	68
1	69	0	34.65234765234765	372.3296703296703	0	69	69
1	70	0	105.6388	378.202	0	70	70
1	71	0	309.56756756756755	388.84384384384384	0	71	71
1	72	0	234.38570241064008	384.76226101413135	0	72	72
1	73	0	384.1431792559188	390.7433295753476	0	73	73
1	74	0	175.9031141868512	395.19204152249137	0	74	74
1	75	0	30.57744874715262	402.30865603644645	0	75	75
1	76	0	281.7517006802721	407.5748299319728	0	76	76
1	77	0	212.48208640674395	417.659114857745	0	77	77
1	78	0	249.6256	416.9608	0	78	78
1	79	0	316.17103235747305	427.95942475603493	0	79	79
1	80	0	67.73703567488047	427.68554615667523	0	80	80
1	81	0	263.6231541642056	447.071470761961	0	81	81
1	82	0	298.2976769313884	468.31388438681796	0	82	82
1	83	0	125.68286755771567	469.21668691778046	0	83	83
1	84	8	442.0360459973463	472.5340557275542	0	84	84
1	85	0	369.9755403868032	481.2673492605233	0	85	85
1	86	8	444.1419878296146	494.6551724137931	0	86	86
1	87	6	482.4907120743034	494.10835913312695	0	87	87
1	88	4	461.09302325581393	497.309481216458	0	88	88
1	89	0	298.6011419249592	498.3752039151713	0	89	89
1	90	0	339.16165951359085	493.04935622317595	0	90	90
1	91	0	101.98320895522389	498.2692786069652	0	91	91
2	1	0	259.9550561797753	9.549438202247192	0	1	1
2	2	0	389.536231884058	12.128623188405797	0	2	2
2	3	0	441.4963190184049	14.769325153374233	0	3	3
2	4	0	312.6045584045584	23.974928774928774	0	4	4
2	5	0	277.70588235294116	35.09005726184279	0	5	5
2	6	0	478.9187898089172	34.60549363057325	0	6	6
2	7	0	83.25029832935562	37.932875894988065	0	7	7
2	8	0	421.5842696629214	44.83976551050318	0	8	8
2	9	0	505.69193548387096	32.45322580645161	0	9	9
2	10	0	31.575196850393702	43.00944881889764	0	10	10
2	11	0	373.4371152154793	57.11477572559367	0	11	11
2	12	0	404.3934807916182	72.011641443539	0	12	12
2	13	0	500.82267441860466	81.13662790697674	0	13	13
2	14	0	465.26982543640895	83.24488778054862	0	14	14
2	15	0	432.69	115.88347826086957	0	15	15
2	16	0	468.36733185513674	124.41019955654102	0	16	16
2	17	0	490.67483946293055	139.8085230589609	0	17	17
2	18	0	329.52952029520293	156.02982779827798	0	18	18
2	19	0	497.6943366951125	175.73312645461598	0	19	19
2	20	0	388.8242424242424	156.11322314049588	0	20	20
2	21	0	234.54121306376362	187.39377916018663	0	21	21
2	22	1	106.80747204799563	193.10471775293155	0	22	22
2	23	0	441.67721518987344	229.309127248501	0	23	23
2	24	0	320.456780333069	230.92268041237114	0	24	24
2	25	0	271.49302607640993	238.5979381443299	0	25	25
2	26	0	142.88558769872296	246.5572061506385	0	26	26
2	27	0	17.10187667560322	248.42412868632707	0	27	27
2	28	0	358.68153200419727	251.09391395592866	0	28	28
2	29	0	388.75830469644904	268.446735395189	0	29	29
2	30	0	70.15707369553523	268.30796126949974	0	30	30
2	31	0	428.2012578616352	279.685534591195	0	31	31
2	32	0	11.615981380915438	298.42513576415826	0	32	32
2	33	0	359.7305424528302	301.61733490566036	0	33	33
2	34	0	314.64710643464184	303.4609469850263	0	34	34
2	35	0	52.26905065985526	312.25457641549593	0	35	35
2	36	0	404.00527859237536	316.4991202346041	0	36	36
2	37	0	458.2841041585698	310.8072289156627	0	37	37
2	38	1	211.38545953360767	321.962962962963	0	38	38
2	39	0	353.3757327080891	335.89038686987107	0	39	39
2	40	0	179.7819118488838	337.0412135088724	0	40	40
2	41	0	490.1783783783784	340.3888513513514	0	41	41
2	42	1	62.664659564613245	346.4006484483557	0	42	42
2	43	0	115.4106090373281	347.8285854616896	0	43	43
2	44	0	429.9324937027708	355.69319899244334	0	44	44
2	45	0	155.47067448680352	367.84701857282505	0	45	45
2	46	0	393.7941489361702	364.96702127659574	0	46	46
2	47	0	348.77005789909015	366.9884201819686	0	47	47
2	48	0	205.0795892169448	377.59392383397517	0	48	48
2	49	0	91.33820459290187	382.07265135699373	0	49	49
2	50	0	324.40904936014624	384.0603290676417	0	50	50
2	51	0	256.5711852861035	380.4346049046322	0	51	51
2	52	0	462.992656587473	388.3473002159827	0	52	52
2	53	0	378.4812076401725	398.29081947011707	0	53	53
2	54	0	188.33543804262035	422.6199684293607	0	54	54
2	55	1	428.56226572261556	421.82007496876304	0	55	55
2	56	0	264.093592512599	426.76889848812095	0	56	56
2	57	0	232.51228249744113	434.72262026612077	0	57	57
2	58	0	349.91988950276243	437.7115232833465	0	58	58
2	59	0	388.84295105916726	436.2644265887509	0	59	59
2	60	0	293.15616045845275	444.0207736389685	0	60	60
2	61	0	477.80888183980966	444.9932593180016	0	61	61
2	62	0	114.68265460030166	450.2295625942685	0	62	62
2	63	0	400.59470810583787	475.4187316253675	0	63	63
2	64	0	460.9021183345508	469.85244704163625	0	64	64
2	65	0	326.6256463288521	480.873491899345	0	65	65
2	66	0	238.0383552176918	485.57774706288876	0	66	66
2	67	6	492.2623705408516	492.45454545454544	0	67	67
2	68	20	446.2403455284553	495.390243902439	0	68	68
2	69	0	125.68469785575049	493.02923976608184	0	69	69
3	1	0	345.1078348778433	9.383319292333614	0	1	1
3	2	0	189.01239669421489	17.87878787878788	0	2	2
3	3	0	259.3529411764706	20.51747655583973	0	3	3
3	4	0	286.634008097166	21.63157894736842	0	4	4
3	5	0	423.73858585858585	20.333737373737375	0	5	5
3	6	0	56.0505090054816	32.45614722004699	0	6	6
3	7	0	359.4345066358915	35.235429890363534	0	7	7
3	8	0	312.55899419729207	40.575918762088975	0	8	8
3	9	0	15.787234042553191	45.596926713947994	0	9	9
3	10	0	394.5801952580195	47.70781032078103	0	10	10
3	11	0	214.1247784473591	51.355547678128325	0	11	11
3	12	0	467.169360764144	54.29316678912564	0	12	12
3	13	0	24.173660714285713	79.51875	0	13	13
3	14	0	428.7108655616943	79.30524861878453	0	14	14
3	15	0	361.75482832618025	78.72210300429184	0	15	15
3	16	0	128.35776397515528	79.77805383022775	0	16	16
3	17	0	307.80241748024173	78.56345885634589	0	17	17
3	18	0	90.41044234952864	77.96519216823785	0	18	18
3	19	0	242.36051353226927	87.38306731436502	0	19	19
3	20	0	397.3251895534962	95.13395113732098	0	20	20
3	21	0	171.64994298745725	87.46294184720638	0	21	21
3	22	0	61.88521269412559	97.7373396353815	0	22	22
3	23	0	91.07860262008734	115.79737991266376	0	23	23
3	24	0	302.7139709122962	111.57734684883208	0	24	24
3	25	0	359.39720930232556	123.39488372093024	0	25	25
3	26	0	272.0980211688909	132.76346065347445	0	26	26
3	27	0	476.9483933787731	129.26647192469977	0	27	27
3	28	0	411.6049261083744	133.6320197044335	0	28	28
3	29	1	182.4046021093001	137.80728667305848	0	29	29
3	30	0	242.98302023121389	156.33598265895955	0	30	30
3	31	0	73.70410292072323	157.07093184979138	0	31	31
3	32	0	381.1812161348585	162.82600842865745	0	32	32
3	33	0	21.987034574468087	167.4840425531915	0	33	33
3	34	0	453.33348708487085	169.7227859778598	0	34	34
3	35	0	130.36886102403344	163.53030303030303	0	35	35
3	36	0	325.1806095979248	172.30901426718546	0	36	36
3	37	0	421.1079478054567	172.94543297746145	0	37	37
3	38	0	157.0748407643312	179.18471337579618	0	38	38
3	39	0	208.7221228384019	186.7185450208706	0	39	39
3	40	0	103.88464211257818	190.80611535788742	0	40	40
3	41	0	468.75943104514533	196.67285095856525	0	41	41
3	42	0	410.4020134228188	202.23355704697985	0	42	42
3	43	0	169.38062622309198	206.85225048923678	0	43	43
3	44	0	365.67247754886426	199.91706286318015	0	44	44
3	45	0	250.4524248004911	200.48680171884592	0	45	45
3	46	0	497.7012820512821	204.1974358974359	0	46	46
3	47	0	102.20782851817334	220.26374650512582	0	47	47
3	48	0	277.67318611987383	213.20504731861197	0	48	48
3	49	0	301.68640454760776	228.0279488394126	0	49	49
3	50	0	62.3447695930037	235.32357887655567	0	50	50
3	51	0	370.4787714543812	231.43631436314362	0	51	51
3	52	0	411.08507570295603	241.9718817591925	0	52	52
3	53	0	238.50991114149008	238.55023923444975	0	53	53
3	54	0	483.1362880886427	244.62770083102492	0	54	54
3	55	0	186.0394218134034	249.33201927288655	0	55	55
3	56	0	441.3821782178218	246.89158415841584	0	56	56
3	57	0	213.75428571428571	254.3761904761905	0	57	57
3	58	0	385.4033149171271	254.88397790055248	0	58	58
3	59	0	131.4786561264822	251.9407114624506	0	59	59
3	60	0	341.66715470961446	254.44899951195706	0	60	60
3	61	0	300.05344494526724	266.29813264649067	0	61	61
3	62	0	386.067876344086	280.58266129032256	0	62	62
3	63	0	502.41129032258067	279.04737903225805	0	63	63
3	64	0	238.50105374077978	279.4857744994731	0	64	64
3	65	0	138.44714964370547	283.166270783848	0	65	65
3	66	0	452.2283907238229	284.7406886858749	0	66	66
3	67	0	15.460805084745763	288.5381355932203	0	67	67
3	68	0	479.77111540941326	301.3023855577047	0	68	68
3	69	0	285.35809806835067	296.4301634472511	0	69	69
3	70	0	314.15039281705947	310.69584736251403	0	70	70
3	71	0	339.5076470588235	302.6623529411765	0	71	71
3	72	0	408.1193931398417	305.6807387862797	0	72	72
3	73	0	144.82347297729453	317.23696834026225	0	73	73
3	74	0	240.77507447864946	313.54816285998015	0	74	74
3	75	0	442.8552544613351	324.1242564441507	0	75	75
3	76	0	367.0347928068804	333.6274433150899	0	76	76
3	77	1	285.21719659650694	338.6820420958352	0	77	77
3	78	0	405.2096069868996	342.391557496361	0	78	78
3	79	0	494.7913769123783	335.85813630041724	0	79	79
3	80	0	217.92757894736843	345.7115789473684	0	80	80
3	81	0	333.88229755178907	362.89171374764595	0	81	81
3	82	0	434.4947874899759	365.10505212510026	0	82	82
3	83	0	463.08437343984025	374.3449825262107	0	83	83
3	84	0	493.56175854849965	378.13886950453593	0	84	84
3	85	0	247.06957866254348	380.55701584847316	0	85	85
3	86	0	303.0662309368192	391.91459694989106	0	86	86
3	87	0	405.0840707964602	389.2940466613033	0	87	87
3	88	0	345.181220657277	411.3380281690141	0	88	88
3	89	0	498.61251015434607	420.2087733549959	0	89	89
3	90	0	278.02876480541454	421.31077270163564	0	90	90
3	91	0	379.70744138634046	424.3924566768603	0	91	91
3	92	0	244.7106842737095	436.06282513005203	0	92	92
3	93	0	428.0536953242836	446.5607843137255	0	93	93
3	94	0	222.07165109034267	473.9450934579439	0	94	94
3	95	19	444.09547383309757	489.27510608203676	0	95	95
