ImageNumber	Mean_Cells_Children_PLA_Count	Mean_Cells_Location_Center_X	Mean_Cells_Location_Center_Y	Mean_Cells_Location_Center_Z	Mean_Cells_Parent_Nuclei	Mean_Nuclei_Children_Cells_Count	Mean_Nuclei_Children_PLA_Count	Mean_Nuclei_Location_Center_X	Mean_Nuclei_Location_Center_Y	Mean_Nuclei_Location_Center_Z	Mean_PLA_Location_Center_X	Mean_PLA_Location_Center_Y	Mean_PLA_Location_Center_Z	Mean_PLA_Parent_Cells	Mean_PLA_Parent_Nuclei	Median_Cells_Children_PLA_Count	Median_Cells_Location_Center_X	Median_Cells_Location_Center_Y	Median_Cells_Location_Center_Z	Median_Cells_Parent_Nuclei	Median_Nuclei_Children_Cells_Count	Median_Nuclei_Children_PLA_Count	Median_Nuclei_Location_Center_X	Median_Nuclei_Location_Center_Y	Median_Nuclei_Location_Center_Z	Median_PLA_Location_Center_X	Median_PLA_Location_Center_Y	Median_PLA_Location_Center_Z	Median_PLA_Parent_Cells	Median_PLA_Parent_Nuclei
1	4.606796116504855	266.6118600461015	277.388452670022	0.0	103.5	1.0	2.4514563106796117	266.68067195874875	277.3344421241331	0.0	243.71094830049375	240.790650812307	0.0	83.81130171543894	47.02724520686176	1.0	266.73631985680595	289.3178304567553	0.0	103.5	1.0	0.0	264.55150457019613	287.4105370537054	0.0	238.0	248.0	0.0	79.0	18.0
2	6.902127659574468	252.6196872814158	243.23876648027093	0.0	118.0	1.0	4.097872340425532	252.6128087549149	243.23536399859816	0.0	277.0174148141387	255.5020122031666	0.0	122.05636363636364	73.76242424242425	2.0	248.7691686844229	233.68346007604563	0.0	118.0	1.0	1.0	248.08695652173913	229.63840399002493	0.0	304.0	289.73333333333335	0.0	140.0	48.0
3	6.538812785388128	240.82740210935404	239.8434197936063	0.0	110.0	1.0	4.004566210045662	240.76424893118633	239.50106309521274	0.0	280.7039819405375	252.317275270765	0.0	112.04149659863945	68.29863945578231	1.0	230.9278350515464	247.65366430260048	0.0	110.0	1.0	0.0	231.75664335664337	246.55789473684212	0.0	282.0	272.125	0.0	124.0	61.0
4	3.933333333333333	260.3245071887514	239.59930282066645	0.0	128.0	1.0	2.2705882352941176	260.3035902453802	239.70717309203317	0.0	278.9936898547018	276.6531610445213	0.0	146.2106824925816	86.86547972304649	1.0	272.28133704735376	223.63015873015874	0.0	128.0	1.0	0.0	271.4385245901639	224.34328358208955	0.0	303.0	261.0	0.0	142.0	87.0
5	7.0606060606060606	259.83287475204867	270.74655258591196	0.0	116.0	1.0	3.935064935064935	259.87244590166335	270.7544864050877	0.0	243.759619385462	272.78352706134064	0.0	110.39007092198581	62.843380614657214	2.0	250.81137184115522	283.52092228864217	0.0	116.0	1.0	0.0	251.01910828025478	284.0422077922078	0.0	256.45	262.3666666666667	0.0	105.0	26.0
6	7.774725274725275	244.22809923504326	242.86650997053076	0.0	91.5	1.0	3.598901098901099	244.1203280182024	242.74983923192718	0.0	169.53689139167477	201.56938839246354	0.0	74.34190927555856	34.03520649966148	2.0	242.28541740991136	232.67310632964893	0.0	91.5	1.0	0.0	239.33003425426773	230.077589958159	0.0	167.28571428571428	198.0	0.0	75.0	0.0
7	3.0547945205479454	263.2705259246559	247.32905874799437	0.0	146.5	1.0	1.9315068493150684	263.2573815339308	247.29780635230796	0.0	288.44510917534666	226.5315336229254	0.0	132.669256381798	83.503884572697	1.0	263.83466382004394	252.7731435873274	0.0	146.5	1.0	0.0	264.67427575675106	251.96803243704653	0.0	325.09090909090907	229.0	0.0	131.0	36.0
8	3.9382239382239383	258.45942013913333	238.2979057577524	0.0	130.0	1.0	2.436293436293436	258.5426181099243	238.2198776493011	0.0	220.7787810532031	270.0657028394038	0.0	145.46079380445306	91.43659244917716	1.0	266.7005649717514	230.73449920508745	0.0	130.0	1.0	0.0	264.68674698795184	230.02742616033754	0.0	188.33333333333334	291.0	0.0	162.0	82.0
